"Alpha","Beta","Gamma","b","Mull_pop_C1","Mull_pop_C2","Mull_pop_H3","Mull_pop_H4","Mull_popH5","Mull_pop_H6","Mull_pop_P"
"90","180","0","1.10","6.23348241006","5.77640457067","0.667182977185","0.673364439736","0.656259308889","1.03435066114","0.95895563232"
"90","180","0","1.20","6.27443155568","5.73566595614","0.64965296454","0.703844432256","0.643029853345","0.932412057372","1.06096318067"
"90","180","0","1.30","6.17257738923","5.82890544758","0.626918385388","0.727930863192","0.650310192401","1.00162830071","0.991729421499"
"90","180","0","1.40","6.17273858994","5.90438239956","0.590366743969","0.707089506522","0.628247681073","0.983952919142","1.01322215979"
"90","180","0","1.50","6.06504325569","6.02728038566","0.614932461052","0.684069543076","0.620471577026","0.996920128832","0.991282648662"
"90","180","0","1.60","6.29982308018","5.75382556549","0.645867482594","0.661896596218","0.64097495471","0.98323556385","1.01437675697"
"90","180","0","1.70","6.33309061583","5.8696009535","0.705946936947","0.647959797811","0.634882388183","0.643861992529","1.1646573152"
"90","180","0","1.80","6.18712117978","6.22533474436","0.792648288405","0.833558193161","0.787242497601","0.280176873126","0.893918223566"
"90","180","0","1.90","6.16577799458","6.20782400101","0.922681901868","0.794035835998","0.805667708024","0.232361346227","0.871651212289"
"90","180","0","2.00","5.72036811586","6.28724913669","0.903681994534","0.614957628513","0.698170019361","1.08424346869","0.691329636349"
"90","180","0","2.10","6.17587596323","6.18454547257","0.403714762456","0.812174183284","0.729962947172","0.830175197458","0.863551473827"
"90","180","0","2.20","6.31463588716","5.74589492018","0.784747110543","0.777041585787","0.688702911408","0.825370852998","0.86360673192"
"90","180","0","2.30","6.30696308016","5.74253424366","0.67822719996","0.677426250143","0.624105163428","0.98545355902","0.985290503634"
"90","180","0","2.40","6.32191330068","5.84007920557","0.659658930366","0.68885778576","0.633245058369","1.25848142719","0.597764292071"
"270","0","0","0.00","6.26121102735","6.21553829624","0.862632681406","0.862632901198","0.898988048193","0.89898766026","9.39E-6"
"270","0","0","0.10","6.1953114546","6.26588271459","0.851616088199","0.774193394362","0.796632206341","0.778892698554","0.337471443359"
"270","0","0","0.20","6.44280067965","5.76406628619","0.63368948928","0.610974293974","0.606366272809","1.21584190098","0.726261077111"
"270","0","0","0.30","6.24261938162","5.84394356357","0.630804580804","0.640982747184","0.644571715927","1.05042152215","0.946656488741"
"270","0","0","0.40","6.32662120421","5.76384397478","0.636063714104","0.665139913592","0.610707222868","0.850041358971","1.14758261147"
"270","0","0","0.50","5.99663470486","6.03951989473","0.612366219261","0.732385787445","0.624813089996","1.01858509429","0.975695209417"
"270","0","0","0.60","6.18484399689","5.8357066846","0.659754634808","0.689250887024","0.636735926833","1.10583914615","0.887868723704"
"270","0","0","0.70","6.27649718737","5.71788480059","0.671222262055","0.717885616468","0.640401168561","1.14634033657","0.829768628385"
"270","0","0","0.80","6.37860695168","5.73733694708","0.606187911826","0.644829941704","0.639114495699","1.16875302872","0.82517072329"
"270","0","0","0.90","6.3197519507","5.73742117241","0.671933581912","0.634168619633","0.64671488038","1.17311866443","0.816891130536"
"270","0","0","1.00","6.38894707438","5.72509377515","0.629141597852","0.656503361722","0.611592125475","1.1607877112","0.827934354219"
"270","0","0","1.10","6.23348241006","5.77640457067","0.667182977185","0.673364439736","0.656259308889","1.03435066114","0.95895563232"
"270","0","0","1.20","6.27443155568","5.73566595614","0.64965296454","0.703844432256","0.643029853345","0.932412057372","1.06096318067"
"270","0","0","1.30","6.17257738923","5.82890544758","0.626918385388","0.727930863192","0.650310192401","1.00162830071","0.991729421499"
"270","0","0","1.40","6.17273858994","5.90438239956","0.590366743969","0.707089506522","0.628247681073","0.983952919142","1.01322215979"
"270","0","0","1.50","6.06504325569","6.02728038566","0.614932461052","0.684069543076","0.620471577026","0.996920128832","0.991282648662"
"270","0","0","1.60","6.29982308018","5.75382556549","0.645867482594","0.661896596218","0.64097495471","0.98323556385","1.01437675697"
"270","0","0","1.70","6.33309061583","5.8696009535","0.705946936947","0.647959797811","0.634882388183","0.643861992529","1.1646573152"
"270","0","0","1.80","6.18712117978","6.22533474436","0.792648288405","0.833558193161","0.787242497601","0.280176873126","0.893918223566"
"270","0","0","1.90","6.16577799458","6.20782400101","0.922681901868","0.794035835998","0.805667708024","0.232361346227","0.871651212289"
"270","0","0","2.00","5.72036811586","6.28724913669","0.903681994534","0.614957628513","0.698170019361","1.08424346869","0.691329636349"
"270","0","0","2.10","6.17587596323","6.18454547257","0.403714762456","0.812174183284","0.729962947172","0.830175197458","0.863551473827"
"270","0","0","2.20","6.31463588716","5.74589492018","0.784747110543","0.777041585787","0.688702911408","0.825370852998","0.86360673192"
"270","0","0","2.30","6.30696308016","5.74253424366","0.67822719996","0.677426250143","0.624105163428","0.98545355902","0.985290503634"
"270","0","0","2.40","6.32191330068","5.84007920557","0.659658930366","0.68885778576","0.633245058369","1.25848142719","0.597764292071"
"270","180","0","0.00","6.26121102735","6.21553829624","0.862632681406","0.862632901198","0.898988048193","0.89898766026","9.39E-6"
"270","180","0","0.10","6.1953114546","6.26588271459","0.851616088199","0.774193394362","0.796632206341","0.778892698554","0.337471443359"
"270","180","0","0.20","6.44280067965","5.76406628619","0.63368948928","0.610974293974","0.606366272809","1.21584190098","0.726261077111"
"270","180","0","0.30","6.24261938162","5.84394356357","0.630804580804","0.640982747184","0.644571715927","1.05042152215","0.946656488741"
"270","180","0","0.40","6.32662120421","5.76384397478","0.636063714104","0.665139913592","0.610707222868","0.850041358971","1.14758261147"
"270","180","0","0.50","5.99663470486","6.03951989473","0.612366219261","0.732385787445","0.624813089996","1.01858509429","0.975695209417"
"270","180","0","0.60","6.18484399689","5.8357066846","0.659754634808","0.689250887024","0.636735926833","1.10583914615","0.887868723704"
"270","180","0","0.70","6.27649718737","5.71788480059","0.671222262055","0.717885616468","0.640401168561","1.14634033657","0.829768628385"
"270","180","0","0.80","6.37860695168","5.73733694708","0.606187911826","0.644829941704","0.639114495699","1.16875302872","0.82517072329"
"270","180","0","0.90","6.3197519507","5.73742117241","0.671933581912","0.634168619633","0.64671488038","1.17311866443","0.816891130536"
"270","180","0","1.00","6.38894707438","5.72509377515","0.629141597852","0.656503361722","0.611592125475","1.1607877112","0.827934354219"
"270","180","0","1.10","6.23348241006","5.77640457067","0.667182977185","0.673364439736","0.656259308889","1.03435066114","0.95895563232"
"270","180","0","1.20","6.27443155568","5.73566595614","0.64965296454","0.703844432256","0.643029853345","0.932412057372","1.06096318067"
"270","180","0","1.30","6.17257738923","5.82890544758","0.626918385388","0.727930863192","0.650310192401","1.00162830071","0.991729421499"
"270","180","0","1.40","6.17273858994","5.90438239956","0.590366743969","0.707089506522","0.628247681073","0.983952919142","1.01322215979"
"270","180","0","1.50","6.06504325569","6.02728038566","0.614932461052","0.684069543076","0.620471577026","0.996920128832","0.991282648662"
"270","180","0","1.60","6.29982308018","5.75382556549","0.645867482594","0.661896596218","0.64097495471","0.98323556385","1.01437675697"
"270","180","0","1.70","6.33309061583","5.8696009535","0.705946936947","0.647959797811","0.634882388183","0.643861992529","1.1646573152"
"270","180","0","1.80","6.18712117978","6.22533474436","0.792648288405","0.833558193161","0.787242497601","0.280176873126","0.893918223566"
"270","180","0","1.90","6.16577799458","6.20782400101","0.922681901868","0.794035835998","0.805667708024","0.232361346227","0.871651212289"
"270","180","0","2.00","5.72036811586","6.28724913669","0.903681994534","0.614957628513","0.698170019361","1.08424346869","0.691329636349"
"270","180","0","2.10","6.17587596323","6.18454547257","0.403714762456","0.812174183284","0.729962947172","0.830175197458","0.863551473827"
"270","180","0","2.20","6.31463588716","5.74589492018","0.784747110543","0.777041585787","0.688702911408","0.825370852998","0.86360673192"
"270","180","0","2.30","6.30696308016","5.74253424366","0.67822719996","0.677426250143","0.624105163428","0.98545355902","0.985290503634"
"270","180","0","2.40","6.32191330068","5.84007920557","0.659658930366","0.68885778576","0.633245058369","1.25848142719","0.597764292071"
"90","90","90","0.00","6.07055868278","5.95968652415","0.865832852306","0.86583251437","0.781122563245","0.781122106198","0.675844756949"
"90","90","90","0.10","5.95509749102","5.9563798594","0.830700826522","0.830700334727","0.901508138687","0.901507542452","0.624105807194"
"90","90","90","0.20","5.81583360377","6.06052916014","0.916784790262","0.916784606441","0.876092320747","0.876092228646","0.537883289992"
"90","90","90","0.30","6.29911949307","6.11907239994","0.745107368893","0.745111358869","0.870384306482","0.870383674823","0.350821397925"
"90","90","90","0.40","5.95653053339","6.06537288012","0.977798632859","0.977796027707","0.759369163422","0.759370339986","0.503762422515"
"90","90","90","0.50","6.23854645857","6.20449281715","0.726576965351","0.726575017082","0.786874846225","0.786879981678","0.53005391394"
"90","90","90","0.60","6.12164520151","6.36952758877","0.798978474162","0.798977408788","0.662486010519","0.662485934263","0.585899381989"
"90","90","90","0.70","6.08015462997","6.41990252171","0.735330104433","0.73533108899","0.701181199752","0.701179894192","0.626920560953"
"90","90","90","0.80","6.11182253937","6.08925720343","0.808916651994","0.80891577395","0.828492574507","0.828493218167","0.52410203858"
"90","90","90","0.90","6.23897883162","6.1316880902","0.73831509584","0.738313727291","0.774688620987","0.774688742033","0.603326892033"
"90","90","90","1.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","1.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","2.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","3.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","4.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","5.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","6.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","7.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","8.90","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","9.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","9.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","9.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","9.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","9.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","9.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","10.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","10.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","11.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","11.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","12.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","12.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","13.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","13.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","14.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","14.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","90","15.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","0.00","6.07055868278","5.95968652415","0.865832852306","0.86583251437","0.781122563245","0.781122106198","0.675844756949"
"90","90","270","0.10","5.95509749102","5.9563798594","0.830700826522","0.830700334727","0.901508138687","0.901507542452","0.624105807194"
"90","90","270","0.20","5.81583360377","6.06052916014","0.916784790262","0.916784606441","0.876092320747","0.876092228646","0.537883289992"
"90","90","270","0.30","6.29911949307","6.11907239994","0.745107368893","0.745111358869","0.870384306482","0.870383674823","0.350821397925"
"90","90","270","0.40","5.95653053339","6.06537288012","0.977798632859","0.977796027707","0.759369163422","0.759370339986","0.503762422515"
"90","90","270","0.50","6.23854645857","6.20449281715","0.726576965351","0.726575017082","0.786874846225","0.786879981678","0.53005391394"
"90","90","270","0.60","6.12164520151","6.36952758877","0.798978474162","0.798977408788","0.662486010519","0.662485934263","0.585899381989"
"90","90","270","0.70","6.08015462997","6.41990252171","0.735330104433","0.73533108899","0.701181199752","0.701179894192","0.626920560953"
"90","90","270","0.80","6.11182253937","6.08925720343","0.808916651994","0.80891577395","0.828492574507","0.828493218167","0.52410203858"
"90","90","270","0.90","6.23897883162","6.1316880902","0.73831509584","0.738313727291","0.774688620987","0.774688742033","0.603326892033"
"90","90","270","1.00","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.10","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.20","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.30","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.40","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.50","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.60","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.70","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
"90","90","270","1.80","5.66357731467","6.63447158165","0.833630855601","0.833630865989","0.638815231058","0.638816358053","0.757057792972"
